Title,Sentiment Score,Sentiment Category,Release Date
Despacito (Remix),0.063889,Positive,"April 17, 2017"
Love Yourself,0.151481,Positive,"November 9, 2015"
I’m the One,0.105348,Positive,"April 28, 2017"
Baby,0.149452,Positive,"January 18, 2010"
Let Me Love You,0.395111,Positive,"August 5, 2016"
Sorry,-0.26256,Negative,"October 22, 2015"
Yummy,0.075,Positive,"January 3, 2020"
Earth,0.238577,Positive,"April 19, 2019"
Stuck with U,-0.21832,Negative,"May 8, 2020"
What Do You Mean?,-0.02912,Neutral,"August 28, 2015"
As Long As You Love Me,0.288927,Positive,"July 10, 2012"
"10,000 Hours",0.25625,Positive,"October 4, 2019"
I Don’t Care,-0.05432,Negative,"May 10, 2019"
Peaches,0.122997,Positive,"March 19, 2021"
Cold Water,-0.02457,Neutral,"July 22, 2016"
STAY,0.15963,Positive,"July 9, 2021"
Maria I’m Drunk,-0.29278,Negative,"September 4, 2015"
Holy,-0.03658,Neutral,"September 18, 2020"
2U,-0.025,Neutral,"June 9, 2017"
Deja Vu,0.095043,Positive,"April 17, 2015"
Lonely,0.057258,Positive,"October 15, 2020"
Friends,-0.01639,Neutral,"August 17, 2017"
No Brainer,0.086336,Positive,"July 27, 2018"
Intentions,0.411218,Positive,"February 7, 2020"
Beauty and a Beat,0.155208,Positive,"October 12, 2012"
Juke Jam,0.064922,Positive,"May 13, 2016"
Eenie Meenie,-0.04008,Neutral,"March 23, 2010"
Monster,0.046719,Neutral,"November 20, 2020"
Confident,0.122856,Positive,"December 9, 2013"
Where Are Ü Now,0.253704,Positive,"February 27, 2015"
No Option,0.204426,Positive,"December 9, 2016"
​bad guy,-0.27932,Negative,"April 19, 2019"
Mistletoe,0.494,Positive,"October 17, 2011"
Ghost,0.139085,Positive,"November 19, 2021"
Anyone,0.208571,Positive,"January 1, 2021"
I’ll Show You,0.14284,Positive,"November 2, 2015"
Mark My Words,0.128788,Positive,"November 13, 2015"
Boyfriend,0.092067,Positive,"March 26, 2012"
Purpose,0.24125,Positive,"November 13, 2015"
Lolly,0.414646,Positive,"September 17, 2013"
Don’t Check on Me,-0.07346,Negative,"June 25, 2019"
That Should Be Me,-0.06016,Negative,"March 19, 2010"
Company,0.090059,Positive,"March 8, 2016"
All That Matters,0.08609,Positive,"October 14, 2013"
Hard 2 Face Reality,-0.15029,Negative,"April 6, 2018"
Never Say Never,0.212338,Positive,"June 8, 2010"
No Sense,-0.21574,Negative,"November 13, 2015"
None Of Your Love,-0.04649,Neutral,"July 4, 2018"
The Feeling,0.525278,Positive,"November 13, 2015"
No Pressure,0.115035,Positive,"November 13, 2015"
Hold On,0.257258,Positive,"March 5, 2021"
Off My Face,0.129167,Positive,"March 19, 2021"
Maria,-0.29278,Negative,"November 1, 2011"
Forever,-0.03749,Neutral,"February 14, 2020"
Private Landing,0.065028,Positive,"February 24, 2023"
Hold Tight,-0.09795,Negative,"October 21, 2013"
Come Around Me,0.095299,Positive,"February 14, 2020"
We Are the World 25 for Haiti,0.38328,Positive,"February 12, 2010"
Unstable,0.35,Positive,"March 19, 2021"
Heartbreaker,0.148968,Positive,"October 7, 2013"
#thatPOWER,0.250058,Positive,"March 15, 2013"
2 Much,0.036364,Neutral,"March 19, 2021"
Life Is Worth Living,0.088215,Positive,"November 13, 2015"
As I Am,0.235417,Positive,"March 19, 2021"
Get Me,0.224271,Positive,"January 28, 2020"
Right Here,0.215646,Positive,"June 15, 2012"
TOO MUCH,0.10866,Positive,"March 19, 2021"
Habitual,0.266504,Positive,"March 19, 2021"
Wait For a Minute,0.270899,Positive,"October 22, 2013"
Wandered To LA,0.145,Positive,"December 3, 2021"
Changes,-0.29167,Negative,"February 14, 2020"
Let Me Love You x Tum Hi Ho - Vidya Vox Mashup Cover,0.381699,Positive,"June 17, 2011"
Next to You,0.037363,Neutral,"October 26, 2009"
Love Me,0.136014,Positive,"January 29, 2013"
Nothing Like Us,0.163542,Positive,"May 7, 2012"
Boyfriend (Remix),0.123126,Positive,"July 15, 2014"
Foreign (Remix),-0.1069,Negative,"March 19, 2021"
Loved By You,0.079524,Positive,"December 23, 2013"
We Are,0.01147,Neutral,"November 13, 2015"
Been You,0.025758,Neutral,"February 14, 2020"
All Around Me,0.1,Positive,"February 14, 2020"
Hard 2 Face Reality,-0.15029,Negative,"March 19, 2021"
E.T.A.,0.138492,Positive,"June 15, 2012"
LET IT GO,0.050446,Positive,"November 6, 2020"
Deserve You,0.131785,Positive,"March 19, 2021"
Be Alright,0.054478,Positive,"March 19, 2021"
Mood (Remix),0.162493,Positive,"November 11, 2013"
Second Emotion,0.028667,Neutral,"March 19, 2021"
Die For You,0.122995,Positive,"December 23, 2013"
All Bad,0.015008,Neutral,"August 20, 2021"
Somebody,0.222424,Positive,"June 15, 2012"
Get Used to It,0.320149,Positive,"July 20, 2011"
Don’t Go,0.052083,Positive,"October 28, 2013"
Fall,0.418182,Positive,"June 17, 2016"
Trust Issues (Remix),-0.17636,Negative,"February 14, 2020"
Recovery,0.196798,Positive,"March 19, 2021"
One Dance (Remix),0.314158,Positive,"December 23, 2013"
Confirmation,0.170578,Positive,"October 30, 2015"
