Title,Sentiment Score,Sentiment Category,Release Date
Shallow,-0.013257576,Negative,2018-09-27
Die With A Smile,0.113804945,Positive,2024-08-15
Poker Face,0.262990196,Positive,2008-09-26
Bad Romance,-0.130756303,Negative,2009-10-23
Always Remember Us This Way,0.055555556,Positive,2018-11-21
Rain On Me,0.013973064,Positive,2020-05-22
Born This Way,0.244281463,Positive,2011-02-11
Do What U Want,0.059259259,Positive,2013-10-21
Sour Candy,-0.066346154,Negative,2020-05-28
Paparazzi,0.301934524,Positive,2009-07-06
Sexxx Dreams,0.007758621,Positive,2013-11-06
Million Reasons,0.237808642,Positive,2016-11-08
I’ll Never Love Again (Extended Version),-0.0625,Negative,2018-10-05
Bloody Mary,-0.121428571,Negative,2011-05-23
Just Dance,0.104310967,Positive,2008-04-08
911,-0.043685385,Negative,2020-09-18
Applause,0.177773655,Positive,2013-08-12
Judas,0.067042607,Positive,2011-04-15
The Cure,0.36302521,Positive,2017-04-16
Telephone,-0.094006734,Negative,2010-01-26
Alejandro,0.254545455,Positive,2010-04-20
Venus,0.419128788,Positive,2013-10-27
Scheiße,0.169047619,Positive,2011-05-23
Aura,-0.141666667,Negative,2013-11-06
Perfect Illusion,0.570628931,Very Positive,2016-09-09
LoveGame,-0.023247354,Negative,2009-03-23
Make Her Say (I Poke Her Face),0.009352453,Positive,2009-05-19
Donatella,0.164854227,Positive,2013-11-06
Babylon,-0.210906053,Negative,2020-05-29
Gypsy,0.204385965,Positive,2013-11-06
Sine from Above,0.258823529,Positive,2020-05-29
Monster,0.046718863,Positive,2009-11-18
Yoü and I,0.095454983,Positive,2011-08-23
Stupid Love,-0.015236318,Negative,2020-02-28
Replay,0.191666667,Positive,2020-05-29
Maybe It’s Time,0.089181287,Positive,2018-10-05
Disease,-0.139583333,Negative,2024-10-25
John Wayne,0.008400573,Positive,2016-10-21
Free Woman,0.366359447,Positive,2020-05-29
Swine,-0.199656085,Negative,2013-11-06
Mary Jane Holland,0.472991071,Positive,2013-11-06
Is That Alright?,0.268214286,Positive,2018-10-05
ARTPOP,-0.004285714,Negative,2013-11-06
Dope,0.109704542,Positive,2013-11-04
Hold My Hand,0.2,Positive,2022-05-03
Fun Tonight,0.119230769,Positive,2020-05-29
I’ll Never Love Again (Film Version),-0.089285714,Negative,2018-10-05
Government Hooker,-0.000179211,Negative,2011-05-23
MANiCURE,-0.019431818,Negative,2013-11-06
Speechless,-0.052525253,Negative,2009-11-18
3-Way (The Golden Rule),0.118407412,Positive,2011-05-24
Enigma,0.24,Positive,2020-05-29
Plastic Doll,0.044356521,Positive,2020-05-29
Fashion!,0.507055631,Very Positive,2013-11-06
The Edge of Glory,0.067857143,Positive,2011-05-09
1000 Doves,-0.049603175,Negative,2020-05-29
Diamond Heart,0.150805322,Positive,2016-10-21
Jewels N’ Drugs,0.043481481,Positive,2013-11-06
Marry the Night,0.167136067,Positive,2011-11-15
Americano,0.4625,Positive,2011-05-23
Angel Down,-0.147863248,Negative,2016-10-21
Look What I Found,-0.058506944,Negative,2018-10-05
Dancin’ in Circles,0.067063492,Positive,2016-10-21
Hey Girl,0.056481481,Positive,2016-10-21
Cake Like Lady Gaga,-0.177169312,Negative,2012-11-11
Dance in the Dark,-0.055645161,Negative,2010-07-26
Heavy Metal Lover,0.036678378,Positive,2011-05-23
Hair,-0.047222222,Negative,2011-05-16
Music to My Eyes,0.388888889,Positive,2018-10-05
Fashion (2009),0.268097643,Positive,2009-11-03
Boys Boys Boys,0.278742369,Positive,2008-08-19
Someone You Loved,0.251851852,Positive,2019-11-08
Grigio Girls,-0.283760684,Negative,2016-10-21
I Don’t Know What Love Is,0.25,Positive,2018-10-05
Sinner’s Prayer,0.411863426,Positive,2016-10-21
So Happy I Could Die,0.507142857,Very Positive,2009-11-18
Just Another Day,-0.00799637,Negative,2016-10-21
Black Eyes,-0.340029762,Negative,2018-10-05
Happy Mistake,-0.005357143,Negative,2013-03-01
La Vie en Rose,0.35,Positive,2018-10-05
Love Me Right,0.263821429,Positive,2020-05-29
Why Did You Do That?,0.195238095,Positive,2018-10-05
Til It Happens To You,0.327777778,Positive,2015-09-18
Teeth,0.056707317,Positive,2009-11-18
Heal Me,0.006944444,Positive,2018-10-05
Sweet Sounds of Heaven,0.130048077,Positive,2023-09-28
Come to Mama,0.03050984,Positive,2016-10-21
Chillin,-0.5,Very Negative,2009-04-14
"Eh, Eh (Nothing Else I Can Say)",0.111805556,Positive,2009-01-10
Bad Kids,-0.281068525,Negative,2011-05-23
Christmas Tree,0.188235294,Positive,2008-12-16
Paper Gangsta,0.164666667,Positive,2008-08-19
Diggin’ My Grave,-0.003472222,Negative,2018-10-05
Before I Cry,-0.051428571,Negative,2018-10-05
Hair Body Face,0.234375,Positive,2018-10-05
"Where Are You, Christmas?",0.33125,Positive,2000-11-21
Brown Eyes,0.354285714,Positive,2008-08-19
Video Phone (Extended Remix),0.313503542,Positive,2009-11-17
