Title,Sentiment Score,Sentiment Category
Shallow,-0.013257576,Neutral
Die With A Smile,0.113804945,Positive
Poker Face,0.262990196,Positive
Bad Romance,-0.130756303,Negative
Always Remember Us This Way,0.055555556,Positive
Rain On Me,0.013973064,Neutral
Born This Way,0.244281463,Positive
Do What U Want,0.059259259,Positive
Sour Candy,-0.066346154,Negative
Paparazzi,0.301934524,Positive
Sexxx Dreams,0.007758621,Neutral
Million Reasons,0.237808642,Positive
I’ll Never Love Again (Extended Version),-0.0625,Negative
Bloody Mary,-0.121428571,Negative
Just Dance,0.104310967,Positive
911,-0.043685385,Neutral
Applause,0.177773655,Positive
Judas,0.067042607,Positive
The Cure,0.36302521,Positive
Telephone,-0.094006734,Negative
Alejandro,0.254545455,Positive
Venus,0.419128788,Positive
Scheiße,0.169047619,Positive
Aura,-0.141666667,Negative
Perfect Illusion,0.570628931,Positive
LoveGame,-0.023247354,Neutral
Make Her Say (I Poke Her Face),0.009352453,Neutral
Donatella,0.164854227,Positive
Babylon,-0.210906053,Negative
Gypsy,0.204385965,Positive
Sine from Above,0.258823529,Positive
Monster,0.046718863,Neutral
Yoü and I,0.095454983,Positive
Stupid Love,-0.015236318,Neutral
Replay,0.191666667,Positive
Maybe It’s Time,0.089181287,Positive
Disease,-0.139583333,Negative
John Wayne,0.008400573,Neutral
Free Woman,0.366359447,Positive
Swine,-0.199656085,Negative
Mary Jane Holland,0.472991071,Positive
Is That Alright?,0.268214286,Positive
ARTPOP,-0.004285714,Neutral
Dope,0.109704542,Positive
Hold My Hand,0.2,Positive
Fun Tonight,0.119230769,Positive
I’ll Never Love Again (Film Version),-0.089285714,Negative
Government Hooker,-0.000179211,Neutral
MANiCURE,-0.019431818,Neutral
Speechless,-0.052525253,Negative
3-Way (The Golden Rule),0.118407412,Positive
Enigma,0.24,Positive
Plastic Doll,0.044356521,Neutral
Fashion!,0.507055631,Positive
The Edge of Glory,0.067857143,Positive
1000 Doves,-0.049603175,Neutral
Diamond Heart,0.150805322,Positive
Jewels N’ Drugs,0.043481481,Neutral
Marry the Night,0.167136067,Positive
Americano,0.4625,Positive
Angel Down,-0.147863248,Negative
Look What I Found,-0.058506944,Negative
Dancin’ in Circles,0.067063492,Positive
Hey Girl,0.056481481,Positive
Cake Like Lady Gaga,-0.177169312,Negative
Dance in the Dark,-0.055645161,Negative
Heavy Metal Lover,0.036678378,Neutral
Hair,-0.047222222,Neutral
Music to My Eyes,0.388888889,Positive
Fashion (2009),0.268097643,Positive
Boys Boys Boys,0.278742369,Positive
Someone You Loved,0.251851852,Positive
Grigio Girls,-0.283760684,Negative
I Don’t Know What Love Is,0.25,Positive
Sinner’s Prayer,0.411863426,Positive
So Happy I Could Die,0.507142857,Positive
Just Another Day,-0.00799637,Neutral
Black Eyes,-0.340029762,Negative
Happy Mistake,-0.005357143,Neutral
La Vie en Rose,0.35,Positive
Love Me Right,0.263821429,Positive
Why Did You Do That?,0.195238095,Positive
Til It Happens To You,0.327777778,Positive
Teeth,0.056707317,Positive
Heal Me,0.006944444,Neutral
Sweet Sounds of Heaven,0.130048077,Positive
Come to Mama,0.03050984,Neutral
Chillin,-0.5,Negative
"Eh, Eh (Nothing Else I Can Say)",0.111805556,Positive
Bad Kids,-0.281068525,Negative
Christmas Tree,0.188235294,Positive
Paper Gangsta,0.164666667,Positive
Diggin’ My Grave,-0.003472222,Neutral
Before I Cry,-0.051428571,Negative
Hair Body Face,0.234375,Positive
"Where Are You, Christmas?",0.33125,Positive
Brown Eyes,0.354285714,Positive
Video Phone (Extended Remix),0.313503542,Positive
