,Title,Sentiment Score,Sentiment Category,Streams
0,Shallow,-0.0132576,Negative,"2,640,273,542"
1,Die With A Smile,0.11380495,Positive,1479448141
2,Poker Face,0.2629902,Positive,1509601497
3,Bad Romance,-0.1307563,Negative,1397343457
4,Always Remember Us This Way,0.05555556,Positive,1456854216
5,Rain On Me,0.01397306,Positive,"1,115,835,052"
6,Born This Way,0.24428146,Positive,666320490
7,Do What U Want,0.05925926,Positive,120012466
8,Sour Candy,-0.0663462,Negative,"380,563,660"
9,Paparazzi,0.30193452,Positive,698825282
10,Sexxx Dreams,0.00775862,Positive,43922930
11,Million Reasons,0.23780864,Positive,878376209
12,I’ll Never Love Again (Extended Version),-0.0625,Negative,"229,495,077"
13,Bloody Mary,-0.1214286,Negative,608459930
14,Just Dance,0.10431097,Positive,1233127411
15,911,-0.0436854,Negative,169529058
16,Applause,0.17777366,Positive,621558082
17,Judas,0.06704261,Positive,682478524
18,The Cure,0.36302521,Positive,381154594
19,Telephone,-0.0940067,Negative,803782386
20,Alejandro,0.25454546,Positive,532496626
21,Venus,0.41912879,Positive,85514833
22,Scheiße,0.16904762,Positive,"63,612,525"
23,Aura,-0.1416667,Negative,37109991
24,Perfect Illusion,0.57062893,Very Positive,227207892
25,LoveGame,-0.0232474,Negative,469055405
27,Donatella,0.16485423,Positive,54170428
28,Babylon,-0.2109061,Negative,67632974
29,Gypsy,0.20438597,Positive,34619543
30,Sine from Above,0.25882353,Positive,"56,854,408"
31,Monster,0.04671886,Positive,"27,788,066"
32,Yoü and I,0.09545498,Positive,"27,788,066"
33,Stupid Love,-0.0152363,Negative,"27,788,066"
34,Replay,0.19166667,Positive,"27,788,066"
36,Disease,-0.1395833,Negative,"27,788,066"
37,John Wayne,0.00840057,Positive,"27,788,066"
38,Free Woman,0.36635945,Positive,"27,788,066"
39,Swine,-0.1996561,Negative,"27,788,066"
40,Mary Jane Holland,0.47299107,Positive,"27,788,066"
41,Is That Alright?,0.26821429,Positive,"27,788,066"
42,ARTPOP,-0.0042857,Negative,"27,788,066"
43,Dope,0.10970454,Positive,"27,788,066"
44,Hold My Hand,0.2,Positive,"27,788,066"
45,Fun Tonight,0.11923077,Positive,"27,788,066"
46,I’ll Never Love Again (Film Version),-0.0892857,Negative,"27,788,066"
47,Government Hooker,-0.0001792,Negative,"27,788,066"
48,MANiCURE,-0.0194318,Negative,"27,788,066"
49,Speechless,-0.0525253,Negative,"27,788,066"
50,3-Way (The Golden Rule),0.11840741,Positive,"27,788,066"
51,Enigma,0.24,Positive,"27,788,066"
52,Plastic Doll,0.04435652,Positive,"27,788,066"
53,Fashion!,0.50705563,Very Positive,"27,788,066"
54,The Edge of Glory,0.06785714,Positive,"27,788,066"
55,1000 Doves,-0.0496032,Negative,"27,788,066"
56,Diamond Heart,0.15080532,Positive,"27,788,066"
57,Jewels N’ Drugs,0.04348148,Positive,"27,788,066"
58,Marry the Night,0.16713607,Positive,"27,788,066"
59,Americano,0.4625,Positive,"27,788,066"
60,Angel Down,-0.1478632,Negative,"27,788,066"
61,Look What I Found,-0.0585069,Negative,"27,788,066"
62,Dancin’ in Circles,0.06706349,Positive,"27,788,066"
63,Hey Girl,0.05648148,Positive,"27,788,066"
65,Dance in the Dark,-0.0556452,Negative,"27,788,066"
66,Heavy Metal Lover,0.03667838,Positive,"27,788,066"
67,Hair,-0.0472222,Negative,"27,788,066"
68,Music to My Eyes,0.38888889,Positive,"27,788,066"
69,Fashion (2009),0.26809764,Positive,"27,788,066"
70,Boys Boys Boys,0.27874237,Positive,"27,788,066"
72,Grigio Girls,-0.2837607,Negative,"27,788,066"
73,I Don’t Know What Love Is,0.25,Positive,"27,788,066"
74,Sinner’s Prayer,0.41186343,Positive,"27,788,066"
75,So Happy I Could Die,0.50714286,Very Positive,"27,788,066"
76,Just Another Day,-0.0079964,Negative,"27,788,066"
78,Happy Mistake,-0.0053571,Negative,"27,788,066"
79,La Vie en Rose,0.35,Positive,"27,788,066"
81,Why Did You Do That?,0.1952381,Positive,"27,788,066"
82,Til It Happens To You,0.32777778,Positive,"27,788,066"
83,Teeth,0.05670732,Positive,"27,788,066"
84,Heal Me,0.00694444,Positive,"27,788,066"
85,Sweet Sounds of Heaven,0.13004808,Positive,"27,788,066"
86,Come to Mama,0.03050984,Positive,"27,788,066"
87,Chillin,-0.5,Very Negative,"27,788,066"
88,"Eh, Eh (Nothing Else I Can Say)",0.11180556,Positive,"27,788,066"
89,Bad Kids,-0.2810685,Negative,"27,788,066"
90,Christmas Tree,0.18823529,Positive,"27,788,066"
91,Paper Gangsta,0.16466667,Positive,"27,788,066"
92,Diggin’ My Grave,-0.0034722,Negative,"27,788,066"
93,Before I Cry,-0.0514286,Negative,"27,788,066"
94,Hair Body Face,0.234375,Positive,"27,788,066"
96,Brown Eyes,0.35428571,Positive,"27,788,066"
97,Video Phone (Extended Remix),0.31350354,Positive,"27,788,066"
,,,,
,,,,
,,,,0
