artist_name,song_name,streams
The Weeknd,Blinding Lights,"4,646,503,363"
The Weeknd,Starboy,"3,673,471,314"
Justin Bieber,STAY (with Justin Bieber),"3,416,456,759"
Lady Gaga,Shallow - Radio Edit,"2,639,367,538"
Justin Bieber,Love Yourself,"2,633,767,208"
The Weeknd,Die For You,"2,594,175,849"
The Weeknd,The Hills,"2,522,521,678"
Justin Bieber,Let Me Love You,"2,352,359,892"
Justin Bieber,Sorry,"2,294,631,777"
The Weeknd,Save Your Tears,"2,219,167,728"
The Weeknd,Call Out My Name,"1,979,781,877"
Justin Bieber,I Don't Care (with Justin Bieber),"1,924,392,871"
The Weeknd,I Feel It Coming,"1,873,612,979"
The Weeknd,Can't Feel My Face,"1,873,217,850"
Justin Bieber,Ghost,"1,822,207,612"
The Weeknd,Earned It (Fifty Shades Of Grey),"1,805,687,145"
Justin Bieber,Despacito - Remix,"1,765,518,822"
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"1,736,042,674"
Justin Bieber,What Do You Mean?,"1,727,498,829"
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),"1,710,350,220"
Justin Bieber,Cold Water,"1,637,372,094"
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)","1,517,338,177"
Lady Gaga,Poker Face,"1,508,554,791"
The Weeknd,Creepin',"1,500,172,950"
Lady Gaga,Die With A Smile,"1,469,089,162"
Lady Gaga,Always Remember Us This Way,"1,455,947,688"
Lady Gaga,Bad Romance,"1,396,578,750"
Justin Bieber,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1,300,095,003"
The Weeknd,Stargirl Interlude,"1,279,344,023"
Justin Bieber,Intentions (feat. Quavo),"1,247,838,785"
Lady Gaga,Just Dance,"1,232,290,887"
Justin Bieber,Stuck with U (with Justin Bieber),"1,211,265,001"
The Weeknd,Reminder,"1,153,901,004"
The Weeknd,I Was Never There,"1,148,261,256"
Justin Bieber,Where Are Ã Now,"1,145,478,105"
Lady Gaga,Rain On Me (with Ariana Grande),"1,115,560,661"
Justin Bieber,"10,000 Hours (with Justin Bieber)","1,112,613,126"
Justin Bieber,Baby,"1,111,260,898"
The Weeknd,Often,"1,078,203,468"
The Weeknd,After Hours,"1,063,051,923"
The Weeknd,Heartless,"1,058,475,124"
The Weeknd,Die For You (with Ariana Grande) - Remix,"1,057,922,981"
The Weeknd,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","1,055,304,623"
The Weeknd,Lost in the Fire (feat. The Weeknd),"1,027,582,246"
The Weeknd,Moth To A Flame (with The Weeknd),"1,027,329,444"
The Weeknd,Popular (with Playboi Carti & Madonna),"1,025,546,772"
The Weeknd,Love Me Harder,"1,023,742,730"
Justin Bieber,Beauty And A Beat,"1,015,790,248"
The Weeknd,Pray For Me,"1,006,240,050"
The Weeknd,In Your Eyes,"998,209,147"
The Weeknd,Low Life (feat. The Weeknd),"995,693,559"
The Weeknd,You Right,"907,309,525"
Justin Bieber,Mistletoe,"893,006,442"
Justin Bieber,Lonely (with benny blanco),"886,390,438"
Lady Gaga,Million Reasons,"878,112,140"
The Weeknd,Party Monster,"871,376,299"
Justin Bieber,2U (feat. Justin Bieber),"847,042,794"
Justin Bieber,Yummy,"825,983,957"
Justin Bieber,Holy (feat. Chance The Rapper),"819,829,757"
Lady Gaga,Telephone,"803,310,006"
The Weeknd,Is There Someone Else?,"802,936,109"
Justin Bieber,Hold On,"791,076,058"
Justin Bieber,Anyone,"725,719,999"
Justin Bieber,Eenie Meenie,"722,656,837"
Justin Bieber,Friends,"700,378,292"
Lady Gaga,Paparazzi,"698,319,843"
Lady Gaga,Judas,"681,736,060"
The Weeknd,One Right Now (with The Weeknd),"675,334,411"
Lady Gaga,Born This Way,"666,077,902"
Justin Bieber,Company,"650,107,520"
Justin Bieber,Monster (Shawn Mendes & Justin Bieber),"639,369,013"
The Weeknd,Wicked Games,"628,167,214"
Lady Gaga,Applause,"621,254,499"
Justin Bieber,No Brainer,"614,603,802"
Lady Gaga,Bloody Mary,"608,093,920"
Justin Bieber,Confident,"605,944,077"
Justin Bieber,Boyfriend,"603,988,201"
The Weeknd,In The Night,"581,604,892"
Lady Gaga,Alejandro,"532,173,342"
The Weeknd,Acquainted,"525,335,082"
The Weeknd,Out of Time,"503,793,769"
The Weeknd,LA FAMA,"499,735,570"
The Weeknd,The Morning,"493,517,500"
The Weeknd,Smile (with The Weeknd),"488,535,941"
The Weeknd,Take My Breath - Single Version,"479,852,294"
Lady Gaga,LoveGame,"468,700,205"
The Weeknd,Hurricane,"429,822,136"
Justin Bieber,As Long As You Love Me,"429,613,338"
The Weeknd,Sidewalks,"417,039,581"
The Weeknd,Sacrifice,"414,305,287"
The Weeknd,House Of Balloons / Glass Table Girls,"413,612,095"
Justin Bieber,Deja Vu,"411,556,562"
The Weeknd,Some Way,"411,160,229"
The Weeknd,Timeless (with Playboi Carti),"409,079,143"
Lady Gaga,Stupid Love,"392,114,838"
The Weeknd,Lust for Life (with The Weeknd),"386,668,947"
Lady Gaga,I'll Never Love Again - Film Version - Radio Edit,"382,878,838"
The Weeknd,Try Me,"382,490,375"
Lady Gaga,The Cure,"381,118,300"
Lady Gaga,Sour Candy (with BLACKPINK),"380,490,093"
Justin Bieber,bad guy (with Justin Bieber),"380,290,114"
Justin Bieber,Off My Face,"376,473,538"
Justin Bieber,Purpose,"374,759,688"
The Weeknd,Crew Love,"369,983,231"
The Weeknd,Secrets,"369,003,445"
Justin Bieber,I'll Show You,"362,970,672"
The Weeknd,High For This,"356,494,595"
Justin Bieber,Never Say Never,"353,691,104"
The Weeknd,Wasted Times,"352,534,872"
Lady Gaga,Hold My Hand,"348,527,834"
The Weeknd,Hurt You,"335,470,228"
Lady Gaga,The Edge Of Glory,"332,960,336"
Justin Bieber,One Time,"330,155,094"
The Weeknd,Less Than Zero,"329,487,017"
Justin Bieber,Somebody To Love,"328,627,825"
The Weeknd,HawÃ¡i - Remix,"327,231,480"
The Weeknd,K-POP,"326,528,420"
The Weeknd,False Alarm,"321,552,603"
Justin Bieber,Private Landing (feat. Justin Bieber & Future),"315,014,060"
The Weeknd,Six Feet Under,"313,508,600"
The Weeknd,True Colors,"308,644,112"
Justin Bieber,Juke Jam (feat. Justin Bieber & Towkio),"297,737,408"
The Weeknd,What You Need,"292,432,270"
Justin Bieber,Next To You (feat. Justin Bieber),"290,450,668"
Justin Bieber,That Should Be Me,"284,937,396"
Justin Bieber,#thatPOWER,"271,690,082"
The Weeknd,Tell Your Friends,"270,060,185"
The Weeknd,Dark Times,"267,816,247"
The Weeknd,Rockinâ,"267,304,650"
Justin Bieber,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","261,021,625"
