Title,Sentiment Score,Sentiment Category,Release Date
Blinding Lights,0.032142857,Neutral,2019-11-29
Starboy,0.131546232,Positive,2016-09-22
Die For You,0.122994987,Positive,2016-11-25
The Hills,-0.032066116,Neutral,2015-05-27
Save Your Tears,0.137857143,Positive,2020-03-20
Call Out My Name,0.236904762,Positive,2018-03-30
I Feel It Coming,0.27952381,Positive,2016-11-18
Can't Feel My Face,0.292021277,Positive,2015-06-08
Earned It (Fifty Shades Of Grey),0.27231405,Positive,2014-12-23
"One Of The Girls (with JENNIE, Lily Rose Depp)",0.271604938,Positive,2023-06-23
Creepin',0.21796875,Positive,2022-12-05
Stargirl Interlude,0.416666667,Positive,2016-11-25
Reminder,0.048128106,Neutral,2016-11-25
I Was Never There,0.03125,Neutral,2018-03-30
Often,0.089619883,Positive,2014-07-31
After Hours,-0.021164021,Neutral,2020-03-20
Heartless,0.070752499,Positive,2019-11-27
Die For You (with Ariana Grande) - Remix,-0.001378446,Neutral,2023-02-24
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",0.001451546,Neutral,2014-01-21
Lost in the Fire (feat. The Weeknd),0.309753788,Positive,2019-01-11
Popular (with Playboi Carti & Madonna),0.387075617,Positive,2023-06-02
Love Me Harder,0.20762987,Positive,2014-10-01
Pray For Me,0.2373446,Positive,2018-02-02
In Your Eyes,-0.159375,Negative,2020-03-24
Low Life (feat. The Weeknd),0.002222222,Neutral,2016-03-26
You Right,0.234003497,Positive,2021-06-25
Party Monster,0.37270202,Positive,2016-11-18
Is There Someone Else?,0.404761905,Positive,2022-01-07
One Right Now (with The Weeknd),0.15,Positive,2021-11-05
Wicked Games,0.209088582,Positive,2011-03-24
In The Night,-0.070185185,Negative,2015-08-28
Acquainted,0.13735242,Positive,2015-08-28
Out of Time,0.145796131,Positive,2022-01-07
LA FAMA,0,Neutral,2021-11-11
The Morning,0.016853305,Neutral,2011-03-21
Sidewalks,0.102752268,Positive,2016-11-25
Sacrifice,0.21352657,Positive,2022-01-07
House Of Balloons / Glass Table Girls,0.194050224,Positive,2011-03-21
Some Way,-0.014583333,Neutral,2017-02-15
Timeless (with Playboi Carti),-0.026608187,Neutral,2024-09-10
Try Me,0.445138889,Positive,2018-03-30
Crew Love,0.309163898,Positive,2011-11-15
Secrets,0.261538462,Positive,2016-11-25
High For This,0.235904762,Positive,2011-03-21
Wasted Times,0.128462302,Positive,2018-03-30
Hurt You,0.004166667,Neutral,2018-03-30
Less Than Zero,0.358333333,Positive,2022-01-07
K-POP,-0.06728836,Negative,2023-07-21
False Alarm,-0.177142857,Negative,2016-09-29
Six Feet Under,-0.022683355,Neutral,2016-11-23
True Colors,0.2368083,Positive,2016-11-25
What You Need,0.336111111,Positive,2011-03-21
Tell Your Friends,-0.072893218,Negative,2015-08-28
Dark Times,0.057561249,Positive,2015-08-28
Rockinâ€™,0.09375,Positive,2016-11-25
A Lonely Night,0.102884615,Positive,2016-11-25
The Party & The After Party,-0.002406089,Neutral,2011-03-21
Often - Kygo Remix,0.035138889,Neutral,2014-07-31
Might Not,-0.013194444,Neutral,2015-12-18
Coming Down,-0.139295635,Negative,2011-03-21
Shameless,0.196266234,Positive,2015-08-28
Ordinary Life,-0.121621622,Negative,2016-11-25
Double Fantasy (with Future),-0.219571429,Negative,2023-04-21
Take My Breath,0.245089286,Positive,2021-08-06
Prisoner,-0.082738095,Negative,2015-08-28
Faith,0.194003527,Positive,2020-03-20
Privilege,-0.034502924,Neutral,2018-03-30
Power is Power (feat. The Weeknd & Travis Scott),0.375,Positive,2019-04-18
Hardest To Love,0.167794486,Positive,2020-03-20
Comin Out Strong (feat. The Weeknd),0.169270833,Positive,2017-06-30
Nothing Without You,-0.004166667,Neutral,2016-11-25
Attention,0.05787037,Positive,2016-11-25
Escape From LA,-0.141175359,Negative,2020-03-20
Alone Again,-0.042881944,Neutral,2020-03-20
Too Late,0.040379,Neutral,2020-03-20
All I Know,-0.073370257,Negative,2016-11-25
Scared To Live,0.140311688,Positive,2020-03-20
off the table (with The Weeknd),-0.105387487,Negative,2020-10-30
Snowchild,-0.044405594,Neutral,2020-03-20
Curve (feat. The Weeknd),0.126264881,Positive,2017-10-27
Love To Lay,-0.211333333,Negative,2016-11-25
How Do I Make You Love Me?,0.103246753,Positive,2022-01-07
Gasoline,0.046581028,Neutral,2022-01-07
As You Are,-0.007954545,Neutral,2015-08-28
Dancing In The Flames,0.246825397,Positive,2023-03-10
Angel,0.366381346,Positive,2015-08-28
Real Life,0.156363636,Positive,2015-08-28
Twenty Eight,-0.311111111,Negative,2012-11-13
The Zone,0.083873657,Positive,2011-11-15
Losers,0.158823529,Positive,2015-08-28
Best Friends,0.354032258,Positive,2022-01-07
Hawái - Remix,-0.094444444,Negative,2020-11-06
